DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
06/08/2011,21:25,10.4,245,11.6,16.1,00.0,1002.0,1.95,0.00,0.00,0.00,0.0
06/08/2011,21:30,10.8,248,13.0,16.1,00.0,1003.0,1.88,0.00,0.00,0.00,0.0
06/08/2011,21:35,11.0,243,13.6,16.0,00.0,1003.0,1.80,0.00,0.00,0.00,0.0
06/08/2011,21:40,12.5,246,14.1,16.1,00.0,1003.0,1.72,0.00,0.00,0.00,0.0
06/08/2011,21:45,13.4,246,14.1,16.0,00.0,1003.0,1.66,0.00,0.00,0.00,0.0
06/08/2011,21:50,12.9,247,15.6,16.0,00.0,1003.0,1.62,0.00,0.00,0.00,0.0
06/08/2011,21:55,13.9,255,15.7,15.9,00.0,1003.0,1.56,0.00,0.00,0.00,0.0
06/08/2011,22:00,15.9,244,18.4,15.7,00.0,1002.0,1.52,0.00,0.00,0.00,0.0
06/08/2011,22:05,16.2,248,17.7,15.6,00.0,1002.0,1.50,0.00,0.00,0.00,0.0
06/08/2011,22:10,15.0,249,16.1,15.7,00.0,1003.0,1.48,0.00,0.00,0.00,0.0
06/08/2011,22:15,12.9,243,15.4,15.7,00.0,1003.0,1.46,0.00,0.00,0.00,0.0
06/08/2011,22:20,12.3,240,14.3,15.7,00.0,1003.0,1.46,0.00,0.00,0.00,0.0
06/08/2011,22:25,12.8,238,17.6,15.7,00.0,1003.0,1.47,0.00,0.00,0.00,0.0
06/08/2011,22:30,13.7,239,17.1,15.7,00.0,1003.0,1.48,0.00,0.00,0.00,0.0
06/08/2011,22:35,12.3,241,15.0,15.6,00.0,1003.0,1.50,0.00,0.00,0.00,0.0
06/08/2011,22:40,12.5,236,13.6,15.6,00.0,1003.0,1.53,0.00,0.00,0.00,0.0
06/08/2011,22:45,13.3,241,17.3,15.5,00.0,1003.0,1.56,0.00,0.00,0.00,0.0
06/08/2011,22:50,12.7,236,14.6,15.5,00.0,1003.0,1.59,0.00,0.00,0.00,0.0
06/08/2011,22:55,13.2,238,15.9,15.4,00.0,1003.0,1.65,0.00,0.00,0.00,0.0
06/08/2011,23:00,13.0,241,14.6,15.4,00.0,1003.0,1.70,0.00,0.00,0.00,0.0
06/08/2011,23:05,11.9,242,14.5,15.3,00.0,1002.6,1.75,0.00,0.00,0.00,0.0
06/08/2011,23:10,12.1,245,13.2,15.3,00.0,1003.0,1.81,0.00,0.00,0.00,0.0
06/08/2011,23:15,11.8,241,13.4,15.2,00.0,1003.0,1.85,0.00,0.00,0.00,0.0
06/08/2011,23:20,11.9,242,13.1,15.2,00.0,1003.0,1.91,0.00,0.00,0.00,0.0
06/08/2011,23:25,11.6,243,12.8,15.4,00.0,1003.0,1.95,0.00,0.00,0.00,0.0
06/08/2011,23:30,10.7,247,11.5,15.1,00.0,1003.0,1.99,0.00,0.00,0.00,0.0
06/08/2011,23:35,10.5,248,11.6,15.1,00.0,1003.0,2.02,0.00,0.00,0.00,0.0
06/08/2011,23:40,11.2,256,12.4,15.1,00.0,1003.0,2.06,0.00,0.00,0.00,0.0
06/08/2011,23:45,10.2,255,11.2,15.0,00.0,1003.0,2.10,0.00,0.00,0.00,0.0
06/08/2011,23:50,09.9,254,11.3,15.0,00.0,1003.0,2.12,0.00,0.00,0.00,0.0
06/08/2011,23:55,08.5,258,09.4,15.0,00.0,1003.0,2.14,0.00,0.00,0.00,0.0
