DATE,TIME,WSPD,WD,GST,ATMP,WTMP,BARO,DEPTH,AWVHT,MWVHT,WVHT,APD
12/07/2011,06:30,12.0,049,16.5,16.3,00.0,1017.0,2.51,0.00,0.00,0.00,0.0
12/07/2011,06:35,13.4,044,15.5,16.3,00.0,1017.0,2.54,0.00,0.00,0.00,0.0
12/07/2011,06:40,14.3,044,15.2,16.4,00.0,1017.0,2.59,0.00,0.00,0.00,0.0
12/07/2011,06:45,15.3,041,15.8,16.3,00.0,1017.0,2.64,0.00,0.00,0.00,0.0
12/07/2011,06:50,12.9,041,14.3,16.4,00.0,1017.0,2.69,0.00,0.00,0.00,0.0
12/07/2011,06:55,12.7,053,17.1,16.4,00.0,1017.0,2.75,0.00,0.00,0.00,0.0
12/07/2011,07:00,12.3,046,14.3,16.5,00.0,1017.0,2.80,0.00,0.00,0.00,0.0
12/07/2011,07:05,11.9,044,17.2,16.4,00.0,1017.0,2.87,0.00,0.00,0.00,0.0
12/07/2011,07:10,11.0,027,13.0,16.4,00.0,1017.0,2.94,0.00,0.00,0.00,0.0
12/07/2011,07:15,11.6,040,17.6,16.4,00.0,1017.0,3.03,0.00,0.00,0.00,0.0
12/07/2011,07:20,13.3,028,16.8,16.3,00.0,1017.0,3.10,0.00,0.00,0.00,0.0
12/07/2011,07:25,14.7,030,17.2,16.3,00.0,1017.0,3.18,0.00,0.00,0.00,0.0
12/07/2011,07:30,14.2,031,18.7,16.4,00.0,1017.0,3.24,0.00,0.00,0.00,0.0
12/07/2011,07:35,14.7,031,16.1,16.4,00.0,1017.0,3.30,0.00,0.00,0.00,0.0
12/07/2011,07:40,14.8,036,16.8,16.6,00.0,1017.0,3.37,0.00,0.00,0.00,0.0
12/07/2011,07:45,15.2,044,16.5,16.5,00.0,1017.0,3.45,0.00,0.00,0.00,0.0
12/07/2011,07:50,15.3,047,18.8,16.5,00.0,1017.0,3.49,0.00,0.00,0.00,0.0
12/07/2011,07:55,16.3,038,17.4,16.5,00.0,1017.0,3.54,0.00,0.00,0.00,0.0
12/07/2011,08:00,15.4,051,18.4,16.6,00.0,1017.0,3.59,0.00,0.00,0.00,0.0
12/07/2011,08:05,15.1,048,19.2,16.5,00.0,1017.0,3.64,0.00,0.00,0.00,0.0
12/07/2011,08:10,16.1,039,21.5,16.6,00.0,1017.0,3.70,0.00,0.00,0.00,0.0
12/07/2011,08:15,16.3,032,17.4,16.6,00.0,1017.0,3.76,0.00,0.00,0.00,0.0
12/07/2011,08:20,15.0,038,15.8,16.6,00.0,1017.0,3.81,0.00,0.00,0.00,0.0
12/07/2011,08:25,14.1,046,14.6,16.6,00.0,1017.0,3.83,0.00,0.00,0.00,0.0
12/07/2011,08:30,15.4,044,19.1,16.6,00.0,1017.0,3.85,0.00,0.00,0.00,0.0
12/07/2011,08:35,15.1,034,18.0,16.6,00.0,1017.0,3.89,0.00,0.00,0.00,0.0
12/07/2011,08:40,15.6,029,16.8,16.5,00.0,1017.0,3.91,0.00,0.00,0.00,0.0
12/07/2011,08:45,15.9,029,19.4,16.6,00.0,1016.0,3.95,0.00,0.00,0.00,0.0
12/07/2011,08:50,16.6,017,19.5,16.4,00.0,1016.0,3.97,0.00,0.00,0.00,0.0
12/07/2011,08:55,16.2,014,17.7,16.4,00.0,1016.0,3.99,0.00,0.00,0.00,0.0
12/07/2011,09:00,16.4,014,17.8,16.4,00.0,1016.0,3.99,0.00,0.00,0.00,0.0
12/07/2011,09:05,17.4,033,22.4,16.4,00.0,1016.0,4.01,0.00,0.00,0.00,0.0
12/07/2011,09:10,14.3,021,17.6,16.6,00.0,1016.0,4.01,0.00,0.00,0.00,0.0
12/07/2011,09:15,16.6,018,19.9,16.8,00.0,1016.0,4.03,0.00,0.00,0.00,0.0
12/07/2011,09:20,17.5,020,21.7,16.8,00.0,1016.0,4.05,0.00,0.00,0.00,0.0
12/07/2011,09:25,18.4,017,22.2,16.9,00.0,1016.0,4.05,0.00,0.00,0.00,0.0
12/07/2011,09:30,17.7,018,19.8,17.0,00.0,1016.0,4.05,0.00,0.00,0.00,0.0
12/07/2011,09:35,21.1,034,26.0,17.0,00.0,1016.0,4.05,0.00,0.00,0.00,0.0
