BHAC15 tracks and internal structure for low mass stars (0.07 Msun to 1.4 Msun)

M/Ms: mass of the star in units of solar mass 
log t: age of the star (in yr)
Teff: effective temperature (in K)
L/Ls: log luminosity in units of solar luminosity (value used Ls=3.839d+33)
g: log g  (surface gravity)
R/Rs : radius of the star in units of solar radius    (value used Rs=6.96d10)
Li/Li0: ratio of surface lithium abundance to initial abundance
log Tc : log of central temprature
log ROc: log of central density (in gr/cc)
Mrad: mass of radiative core (in solar mass)
Rrad: radius of radiatif core (in solar radius)
k2conv: convective gyration radius 
k2rad: radiative gyration radius


------------------------------------------------------------------------
NOTE: Adopted convention to calculate the gyration radii:

k2conv=[ I/(R**2 * Mstar) ]**(1/2)

with I the moment of inertia defined here by :

I = 2/3 integral(r**2 * dm) 
with the integral over the mass of the convective region

Same for k2rad, corresponding to the radiative zone.
(Make sure you take the factor 2/3 into account)

Example: To calculate the moment of inertia of a 1 Msun star at t = 4.6 Gyr, 
the table gives

k2conv= 8.993E-02  
k2rad= 2.519E-01

k2**2 = k2conv**2 + k2rad**2 ~ 0.071 ===> I = 3/2 * k2**2 ~ 0.107

(Which is the expected value of the moment of intertia for the Sun)

END OF NOTE
-----------------------------------------------------------------------------

!-------------------------------------------------------------------------------------------------------------------
! M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0  log Tc  log ROc   Mrad     Rrad       k2conv      k2rad
!-------------------------------------------------------------------------------------------------------------------
 0.070     5.693     2834.  -1.324  3.369  0.905    1.000   5.813  -0.0918  0.0000   0.000E+00  4.429E-01  0.000E+00
 0.070     5.702     2835.  -1.327  3.374  0.900    1.000   5.815  -0.0853  0.0000   0.000E+00  4.431E-01  0.000E+00
 0.070     5.711     2837.  -1.331  3.379  0.895    1.000   5.817  -0.0789  0.0000   0.000E+00  4.433E-01  0.000E+00
 0.070     5.720     2839.  -1.335  3.384  0.890    1.000   5.819  -0.0724  0.0000   0.000E+00  4.435E-01  0.000E+00
 0.070     5.730     2841.  -1.338  3.388  0.885    1.000   5.821  -0.0660  0.0000   0.000E+00  4.437E-01  0.000E+00
 0.070     5.748     2844.  -1.346  3.398  0.876    1.000   5.825  -0.0531  0.0000   0.000E+00  4.441E-01  0.000E+00
 0.070     5.757     2846.  -1.349  3.403  0.871    1.000   5.827  -0.0466  0.0000   0.000E+00  4.443E-01  0.000E+00
 0.070     5.767     2848.  -1.353  3.407  0.866    1.000   5.829  -0.0402  0.0000   0.000E+00  4.445E-01  0.000E+00
 0.070     5.776     2850.  -1.356  3.412  0.862    1.000   5.831  -0.0338  0.0000   0.000E+00  4.447E-01  0.000E+00
 0.070     5.785     2852.  -1.360  3.417  0.857    1.000   5.833  -0.0274  0.0000   0.000E+00  4.449E-01  0.000E+00
 0.070     5.795     2854.  -1.363  3.421  0.853    1.000   5.835  -0.0211  0.0000   0.000E+00  4.450E-01  0.000E+00
 0.070     5.805     2856.  -1.366  3.426  0.848    1.000   5.837  -0.0147  0.0000   0.000E+00  4.452E-01  0.000E+00
 0.070     5.815     2858.  -1.370  3.430  0.843    1.000   5.839  -0.0084  0.0000   0.000E+00  4.454E-01  0.000E+00
 0.070     5.824     2861.  -1.373  3.435  0.839    1.000   5.841  -0.0021  0.0000   0.000E+00  4.456E-01  0.000E+00
 0.070     5.835     2863.  -1.376  3.440  0.835    1.000   5.843   0.0042  0.0000   0.000E+00  4.458E-01  0.000E+00
 0.070     5.845     2865.  -1.379  3.444  0.830    1.000   5.845   0.0105  0.0000   0.000E+00  4.460E-01  0.000E+00
 0.070     5.856     2868.  -1.382  3.449  0.826    1.000   5.846   0.0167  0.0000   0.000E+00  4.462E-01  0.000E+00
 0.070     5.866     2870.  -1.385  3.453  0.822    1.000   5.848   0.0229  0.0000   0.000E+00  4.463E-01  0.000E+00
 0.070     5.878     2872.  -1.388  3.458  0.817    1.000   5.850   0.0291  0.0000   0.000E+00  4.465E-01  0.000E+00
