Formation of massive stars by growing accretion
===============================================

Tables of the principal properties of stars on the birthline
and stars leaving the birthline.

Complete tables for the article by
   Behrend R., Maeder A., A&A 2001 ***, ***

Authors: R. Behrend and A. Maeder
         Geneva Observatory
         CH-1290 Sauverny
         Switzerland

Contact: raoul.behrend@obs.unige.ch
         andre.maeder@obs.unige.ch
 or see: http://obswww.unige.ch

Entries of the tables:
  -  time in year
  -  decimal logarithm of the bolometric luminosity of the star in
     units of solar luminosity
  -  mass of the star in units of solar mass
  -  effective temperature in Kelvin
  -  radius of the star in units of solar radius
  -  upper radius of the convective zone, in units of stellar radius
  -  lower radius of the convective zone, in units of stellar radius
  -  disc luminosity, in units of stellar luminosity

The birtline is computed with \tilde{f}=0.5.
t_stop is the age of the star at the end of the accretion

ftp://obsftp.unige.ch/pub/evol/prems/AA2001BM/


Birthline with \tilde{f}=0.5
============================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

70.03e3     1.242  0.7007   4.067e3   8.407     1.000     0.000   4.607
76.00e3     1.160  0.8123   4.196e3   7.191     1.000     0.000   6.766
81.20e3     1.122  0.9007   4.290e3   6.583     1.000     0.000   8.335
91.82e3     1.130   1.076   4.409e3   6.292     1.000     0.000  10.026
102.3e3     1.228   1.270   4.453e3   6.904     1.000     0.000   9.730
110.8e3     1.330   1.458   4.518e3   7.542     1.000     0.000   9.538
120.4e3     1.435   1.704   4.582e3   8.272     1.000     0.000   9.547
130.1e3     1.522   1.990   4.639e3   8.920     1.000     0.000   9.675
159.0e3     1.590   2.977   4.890e3   8.685     1.000     0.000  14.587
188.2e3     1.590   3.995   5.112e3   7.946     1.000     0.214  21.384
217.0e3     1.688   5.050   5.358e3   8.101     1.000     0.528  24.049
232.8e3     2.579   6.006   7.036e3  13.092     0.000     0.000   8.318
237.1e3     3.126   6.979   9.546e3  13.357     0.000     0.000   5.720
239.8e3     3.425   8.046  11.728e3  12.489     0.000     0.000   5.208
241.6e3     3.710   9.039  14.070e3  12.038     0.000     0.000   4.534
242.8e3     3.959   10.00  16.546e3  11.600     0.000     0.000   4.000
243.9e3     4.177   11.06  19.324e3  10.928     0.000     0.000   3.715
244.6e3     4.334   11.98  21.787e3  10.302     0.000     0.000   3.549
245.7e3     4.578   13.91  26.948e3   8.921     0.000     0.000   3.576
247.1e3     4.783   16.99  33.917e3   7.132     0.041     0.000   4.326
248.3e3     4.909   20.06  37.742e3   6.659     0.135     0.000   5.168
250.2e3     4.943   25.01  39.398e3   6.349     0.229     0.000   6.648
251.9e3     5.121   29.97  42.607e3   6.666     0.234     0.000   5.496
253.3e3     5.213   34.98  43.924e3   6.973     0.256     0.000   5.549
254.5e3     5.409   40.00  46.586e3   7.772     0.265     0.000   4.853
255.5e3     5.503   45.06  47.546e3   8.306     0.267     0.000   4.347
256.4e3     5.571   49.89  48.171e3   8.754     0.272     0.000   3.824
258.1e3     5.695   59.74  49.368e3   9.611     0.288     0.000   3.733
259.7e3     5.833   70.64  50.704e3  10.681     0.299     0.000   3.306
261.0e3     5.932   80.37  51.537e3  11.591     0.306     0.000   2.958
261.6e3     5.979   84.93  51.838e3  12.092     0.312     0.000   2.873



Evolution of a star leaving the birthline at t_stop \approx 100e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

98.13e3     1.188   1.188   4.442e3   6.625     1.000     0.000   0.000
114.7e3     1.233   1.188   4.414e3   7.064     1.000     0.000   0.000
129.9e3     1.232   1.188   4.415e3   7.055     1.000     0.000   0.000
160.6e3     1.216   1.188   4.430e3   6.878     1.000     0.000   0.000
197.0e3     1.175   1.188   4.457e3   6.484     1.000     0.000   0.000
226.7e3     1.104   1.188   4.484e3   5.901     1.000     0.000   0.000
255.6e3     1.032   1.188   4.519e3   5.347     1.000     0.000   0.000
289.0e3     0.958   1.188   4.530e3   4.885     1.000     0.000   0.000
336.3e3     0.888   1.188   4.564e3   4.441     1.000     0.000   0.000
373.8e3     0.837   1.188   4.574e3   4.172     1.000     0.000   0.000
415.9e3     0.791   1.188   4.588e3   3.933     1.000     0.000   0.000
467.8e3     0.740   1.188   4.589e3   3.703     1.000     0.000   0.000
528.2e3     0.693   1.188   4.602e3   3.490     1.000     0.000   0.000
601.4e3     0.643   1.188   4.610e3   3.284     1.000     0.000   0.000
686.2e3     0.597   1.188   4.625e3   3.095     1.000     0.000   0.000
781.7e3     0.548   1.188   4.626e3   2.924     1.000     0.000   0.000
894.6e3     0.499   1.188   4.626e3   2.764     1.000     0.000   0.000
1.031e6     0.452   1.188   4.633e3   2.609     1.000     0.000   0.000
1.188e6     0.397   1.188   4.617e3   2.467     1.000     0.001   0.000
1.373e6     0.349   1.188   4.616e3   2.335     1.000     0.019   0.000
1.601e6     0.297   1.188   4.610e3   2.205     1.000     0.041   0.000
1.863e6     0.242   1.188   4.592e3   2.087     1.000     0.067   0.000
2.173e6     0.199   1.188   4.602e3   1.977     1.000     0.092   0.000
